Keyword,Search Intent,Monthly Search Volume,Keyword Difficulty,CPC,Funnel Stage,Persona,Content Type,Triangulated Priority Score,_proposed_url (clean)
nearshore staffing,Commercial,"13,000",49,14.82,MOFU,"CFO, COO, HR Director",Landing Page,9.8,/nearshore-staffing
nearshore accounting,Commercial,880,34,15.71,MOFU,"CFO, Controller",Landing Page,9.1,/nearshore-accounting/nearshoring-accounting
nearshore IT staffing,Commercial,590,37,4.82,MOFU,"CTO, CIO",Landing Page,8.8,/nearshore-it-staffing/nearshoring-it-staffing
nearshore payroll services,Commercial,"12,100",45,12.65,BOFU,"HR Director, CFO",Landing Page,8.5,/nearshore-accounting/nearshoring-payroll-services
nearshore flutter app development,Commercial,"1,700",0,0,BOFU,CTO,Landing Page,7.9,/nearshore-it-staffing/nearshoring-flutter-app-development
nearshore development team,Commercial,"1,700",13,2.4,MOFU,"CTO, HR Director",Landing Page,8.4,/nearshore-it-staffing/nearshoring-development-team
hire nearshore developers,Commercial,900,21,1.65,BOFU,"CTO, HR Director",Landing Page,9.1,/nearshore-it-staffing/hire-nearshoring-developers
nearshore agile development,Informational,"1,400",2,0,MOFU,CTO,Blog Post,7.5,/nearshore-it-staffing/nearshoring-agile-development
nearshore outsourcing,Commercial,"5,900",29,18,MOFU,"CFO, COO",Landing Page,9,/nearshore-outsourcing/nearshoring-outsourcing
nearshoring definition,Informational,590,39,0,TOFU,"Founder, HR Director",Glossary,6.5,/resources/nearshoring-guide/nearshoring-definition
nearshoring vs offshoring,Transactional,590,16,16.07,MOFU,"CFO, COO, HR Director",Comparison Page,9.2,/comparison/nearshoring-vs-offshoring
nearshore bpo,Commercial,900,12,6.8,MOFU,"COO, CFO",Landing Page,8.1,/nearshore-bpo/nearshoring-bpo
employer of record mexico,Commercial,"14,800",42,5.29,BOFU,"HR Director, CFO, General Counsel",Landing Page,9.5,/nearshore-eor/employer-of-record-mexico
nearshore software development in mexico,Commercial,210,15,2.21,BOFU,"CTO, Founder",Landing Page,8.8,/nearshore-it-staffing/developers/nearshoring-software-development-in-mexico
staffing solutions guadalajara,Commercial,"1,400",21,5.32,MOFU,"HR Director, COO",Landing Page,9.2,/locations/staffing-solutions-guadalajara
nearshore legal assistants,Commercial,"2,400",60,0,MOFU,"General Counsel, HR Director",Landing Page,8.5,/nearshore-legal/nearshoring-legal-assistants
nearshore digital marketing team,Commercial,720,33,11.5,MOFU,"CMO, Marketing Director",Landing Page,8.2,/nearshore-marketing/nearshoring-digital-marketing-team
nearshore sales talent Mexico,Commercial,480,45,9.8,BOFU,"Head of Sales, CRO",Landing Page,8.6,/nearshore-sales/nearshoring-sales-talent-mexico
