Keyword,Monthly_Volume,Keyword_Difficulty,CPC,Priority,Intent_Type,Geographic_Focus,Service_Category,Target_Page,Source_Sheet
nearshore,1300,49,4.82,High,Commercial,Global,General,Homepage,Nearshoring Keywords
nearshore software development,1300,32,172.43,High,Commercial,Global,Development,Services,Nearshoring Keywords
what is nearshoring,720,35,4.14,Medium,Informational,Global,Education,Blog,Nearshoring Keywords
nearshore it,590,37,4.82,High,Commercial,Global,IT Services,IT Services,Nearshoring Keywords
nearshore outsourcing,590,29,180,High,Commercial,Global,Outsourcing,Services,Nearshoring Keywords
nearshore software development company,590,32,129.01,High,Commercial,Global,Development,About,Nearshoring Keywords
nearshore vs offshore,590,12,16.07,High,Informational,Global,Comparison,Comparison Page,Nearshoring Keywords
nearshoring definition,590,39,0,Medium,Informational,Global,Education,Blog,Nearshoring Keywords
nearshore development,480,19,137.02,High,Commercial,Global,Development,Services,Nearshoring Keywords
nearshore software development services,480,24,144.49,High,Commercial,Global,Development,Services,Nearshoring Keywords
nearshore developers,260,16,190.48,High,Commercial,Global,Hiring,Hire Developers,Nearshoring Keywords
nearshore staffing mexico,TBD,TBD,TBD,High,Commercial,Mexico,Staffing,Homepage,Keywords Pages
it staff augmentation mexico,TBD,TBD,TBD,High,Commercial,Mexico,IT Staffing,/services/it-staff-augmentation,Keywords Pages
dedicated development team mexico,TBD,TBD,TBD,High,Commercial,Mexico,Dedicated Teams,/services/dedicated-teams,Keywords Pages
employer of record mexico,TBD,TBD,TBD,High,Commercial,Mexico,EOR,/services/eor-mexico,Keywords Pages
nearshore healthcare staffing,TBD,TBD,TBD,Medium,Commercial,Healthcare,Industry,/industries/healthcare,Keywords Pages
senior living nearshore staffing,TBD,TBD,TBD,Medium,Commercial,Senior Living,Industry,/industries/senior-living,Keywords Pages
staffing solutions guadalajara,TBD,TBD,TBD,High,Commercial,Guadalajara,Local,/locations/guadalajara,Keywords Pages
software developers mexico city,TBD,TBD,TBD,High,Commercial,Mexico City,Local,/locations/mexico-city,Keywords Pages
hire engineers in monterrey,TBD,TBD,TBD,High,Commercial,Monterrey,Local,/locations/monterrey,Keywords Pages
peo,40500,63,12.65,Very High,Commercial,Global,EOR,/services/eor-mexico,Gap Analysis
eor,14800,42,45.29,High,Commercial,Global,EOR,/services/eor-mexico,Gap Analysis
talent acquisition,14800,57,4.87,High,Informational,Global,Recruitment,/resources/talent-acquisition,Gap Analysis
