keyword,search_volume,difficulty,search_intent,title,description,url,source_sheet,Search Intent,Funnel Stage,Persona(s),Suggested Slug,Content Type,Recommended Title,Recommended Meta Description,Priority,Internal Link Targets
peo,40500.0,63.0,,,,,MezTal Gap Keywords,Informational,Awareness,General,/blog/peo,Blog Post,Peo,"Learn about peo, its role in nearshore hiring and software development strategies with Meztal.",40500.0,"/services, /about, /blog"
performance improvement plan,33100.0,33.0,,,,,MezTal Gap Keywords,Informational,Awareness,General,/blog/performance-improvement-plan,Blog Post,Performance Improvement Plan,"Learn about performance improvement plan, its role in nearshore hiring and software development strategies with Meztal.",33100.0,"/services, /about, /blog"
hire in job,18100.0,100.0,,,,,MezTal Gap Keywords,Commercial,Consideration,"HR Lead, Founder",/blog/hire-in-job,Static Page,Hire In Job,"Learn about hire in job, its role in nearshore hiring and software development strategies with Meztal.",36200.0,"/services, /about, /blog"
eor,14800.0,42.0,,,,,MezTal Gap Keywords,Informational,Awareness,HR Lead,/blog/eor,Blog Post,Eor,"Learn about eor, its role in nearshore hiring and software development strategies with Meztal.",14800.0,"/services, /about, /blog"
talent acquisition,14800.0,57.0,,,,,MezTal Gap Keywords,Informational,Awareness,HR Lead,/blog/talent-acquisition,Blog Post,Talent Acquisition,"Learn about talent acquisition, its role in nearshore hiring and software development strategies with Meztal.",14800.0,"/services, /about, /blog"
best remote jobs,12100.0,51.0,,,,,MezTal Gap Keywords,Informational,Awareness,General,/blog/best-remote-jobs,Blog Post,Best Remote Jobs,"Learn about best remote jobs, its role in nearshore hiring and software development strategies with Meztal.",12100.0,"/services, /about, /blog"
job search virtual assistant,12100.0,58.0,,,,,MezTal Gap Keywords,Informational,Awareness,General,/blog/job-search-virtual-assistant,Blog Post,Job Search Virtual Assistant,"Learn about job search virtual assistant, its role in nearshore hiring and software development strategies with Meztal.",12100.0,"/services, /about, /blog"
peos,12100.0,45.0,,,,,MezTal Gap Keywords,Informational,Awareness,General,/blog/peos,Blog Post,Peos,"Learn about peos, its role in nearshore hiring and software development strategies with Meztal.",12100.0,"/services, /about, /blog"
bpo industry,9900.0,56.0,,,,,MezTal Gap Keywords,Informational,Awareness,General,/blog/bpo-industry,Blog Post,Bpo Industry,"Learn about bpo industry, its role in nearshore hiring and software development strategies with Meztal.",9900.0,"/services, /about, /blog"
payroll companies,9900.0,81.0,,,,,MezTal Gap Keywords,Informational,Awareness,General,/blog/payroll-companies,Blog Post,Payroll Companies,"Learn about payroll companies, its role in nearshore hiring and software development strategies with Meztal.",9900.0,"/services, /about, /blog"
