Keyword,Search Volume,Keyword Difficulty,CPC,Search Intent,Funnel Stage,Persona,Proposed URL,Parent Pillar,Pillar/Leaf,Content Type,Geographic Target,Win/Loss Insight,Competitor's Value Prop,MezTal's Counter-Narrative,Triangulated Priority Score,Notes
nearshore staffing,13000,49,$14.82,Commercial,MOFU,"CFO, COO, HR Director",/,N/A,Pillar,Landing Page,US-Wide,N/A,"BairesDev: ""Top 1% Talent""","MezTal: ""The Top 5% of Nearshore Talent, Vetted for Cultural Fit""",9.8,"The core, high-level brand term."
nearshore accounting,880,34,$15.71,Commercial,MOFU,"CFO, Controller",/nearshore-accounting/,/,Pillar,Landing Page,US-Wide,Win: Yardi expertise. Lost: Perceived lack of niche expertise.,"Entigrity: ""Offshore Accounting for CPAs""","MezTal: ""Nearshore Accounting for US Property & Real Estate""",9.1,This pillar page will capture high-intent accounting traffic.
nearshore IT staffing,590,37,$4.82,Commercial,MOFU,"CTO, CIO",/nearshore-it-staffing/,/,Pillar,Landing Page,US-Wide,Lost: IT Help Desk roles.,"Andela: ""AI Talent Cloud""","MezTal: ""Human-Centric Vetting for AI & Tech Talent""",8.8,This pillar page will capture high-intent IT traffic.
nearshore payroll services,12100,45,$12.65,Commercial,BOFU,"HR Director, CFO",/nearshore-accounting/payroll-services,/nearshore-accounting/,Leaf,Landing Page,US-Wide,Lost: Payroll Specialist deals.,"EOR providers: ""End-to-End Compliance""","MezTal: ""Compliance with US and Mexican Labor Law""",8.5,High-intent leaf page for our accounting pillar.
nearshore flutter app development,1700,0,$0.00,Commercial,BOFU,CTO,/nearshore-it-staffing/flutter-app-development,/nearshore-it-staffing/,Leaf,Landing Page,US-Wide,N/A,"Competitors: ""Generic Devs""","MezTal: ""Vetted Flutter Experts for a Seamless App Dev""",7.9,"High-value, low-competition technical niche."
nearshore development team,1700,13,$2.40,Commercial,MOFU,"CTO, HR Director",/nearshore-it-staffing/dedicated-teams,/nearshore-it-staffing/,Pillar,Landing Page,US-Wide,Lost: Web Developer roles.,"CodersLink: ""Top 3% Talent""","MezTal: ""Long-Term, Integrated Teams for Your Business""",8.4,Key pillar page for clients seeking dedicated teams.
hire nearshore developers,900,21,$1.65,Commercial,BOFU,"CTO, HR Director",/nearshore-it-staffing/developers,/nearshore-it-staffing/,Leaf,Landing Page,US-Wide,Lost: Sr. Project Manager deals.,"BairesDev: ""4000+ Engineers""","MezTal: ""Vetted Developers in Your Time Zone""",9.1,High-intent keyword for our IT services.
nearshore agile development,1400,2,$0.00,Informational,MOFU,CTO,/nearshore-it-staffing/agile-development,/nearshore-it-staffing/,Leaf,Blog Post,US-Wide,N/A,"Improving: ""Agile Methodologies""","MezTal: ""Real-time Collaboration with Agile Teams""",7.5,Informational content to build authority.
nearshore outsourcing,5900,29,$18.00,Commercial,MOFU,"CFO, COO",/nearshore-outsourcing,/,Pillar,Landing Page,US-Wide,N/A,"Intugo: ""Smart Nearshoring Alternative""","MezTal: ""Nearshoring for a Transparent, Control-first Model""",9,A core keyword for our outsourcing pillar.
nearshoring definition,590,39,$0.00,Informational,TOFU,"Founder, HR Director",/resources/nearshoring-guide/what-is-nearshoring,/nearshore-outsourcing,Leaf,Glossary,US-Wide,N/A,N/A,"MezTal: ""A Glossary for the B2B Market""",6.5,A glossary keyword for top-of-funnel traffic.
nearshoring vs offshoring,590,16,$16.07,Transactional,MOFU,"CFO, COO, HR Director",/comparison/nearshoring-vs-offshoring,/nearshore-outsourcing,Pillar,Comparison Page,US-Wide,N/A,"Offshore Staffings: ""Save 70%""","MezTal: ""Cost vs. Value: Why Proximity Wins""",9.2,Comparison content to convert informed buyers.
nearshore bpo,900,12,$6.80,Commercial,MOFU,"COO, CFO",/nearshore-bpo/,/,Pillar,Landing Page,US-Wide,N/A,"SupportNinja: ""AI-Enabled BPO""","MezTal: ""Human-led BPO with Compliance and Control""",8.1,A key pillar page for BPO services.
employer of record mexico,14800,42,$5.29,Commercial,BOFU,"HR Director, CFO, General Counsel",/nearshore-eor/,/,Pillar,Landing Page,Mexico,Lost: Billing Specialist deals.,"Hire with Near: ""360 Solution""","MezTal: ""EOR for Healthcare Compliance""",9.5,"High-value, high-intent keyword for compliance."
