Topic Cluster,Page Type,Proposed URL,Primary Keyword,Secondary Keywords,Content Type,Funnel Stage,Persona,Triangulated Priority Score
Nearshore Accounting,Pillar,/nearshore-accounting/,nearshore accounting,"nearshore accounting services, outsourced accounting services",Landing Page,MOFU,"CFO, Controller",9.1
Nearshore Accounting,Leaf,/nearshore-accounting/payroll-services/,nearshore payroll services,"outsourced payroll processing, payroll compliance services",Landing Page,BOFU,"HR Director, CFO",8.5
Nearshore Accounting,Leaf,/nearshore-accounting/accounts-payable-services/,accounts payable services,nearshore accounts payable automation,Landing Page,MOFU,"Controller, AP Manager",8.7
Nearshore Accounting,Leaf,/nearshore-accounting/bookkeeping/,outsourced bookkeeping services,hire a bookkeeper,Landing Page,BOFU,"CFO, Controller, Founder",9.1
Nearshore Accounting,Leaf,/nearshore-accounting/tax-specialist/,hire tax specialist nearshore,hire a tax accountant,Landing Page,MOFU,"CFO, HR Director",8.6
Nearshore Accounting,Leaf,/nearshore-accounting/controller-services/,nearshore controller services,"hire a controller, outsourced financial controller services",Landing Page,BOFU,"CFO, CEO",9.4
Nearshore Accounting,Leaf,/nearshore-accounting/accounts-receivable/,accounts receivable services,N/A,Landing Page,MOFU,"Controller, AR Manager",8.9
Nearshore Accounting,Leaf,/nearshore-accounting/financial-reporting/,outsourced financial reporting,nearshore SEC reporting services,Landing Page,BOFU,"CFO, Controller",9
Nearshore Accounting,Leaf,/nearshore-accounting/fp-and-a/,nearshore financial planning and analysis,hire a financial analyst,Landing Page,BOFU,"CFO, Director of FP&A",9.5
Nearshore Accounting,Leaf,/nearshore-accounting/treasury-management/,nearshore treasury management services,N/A,BOFU,"Treasurer, CFO",9.6,
Nearshore Accounting,Spoke,/resources/us-gaap-nearshore/,US GAAP for nearshore accounting teams,GAAP accounting services,Whitepaper / Guide,MOFU,"CFO, Controller",8.7
Nearshore Accounting,Spoke,/resources/sox-compliance-guide/,Sarbanes-Oxley compliance outsourcing,outsourced SOX compliance,Whitepaper / Guide,MOFU,"General Counsel, CFO",9.5
Nearshore IT Staffing,Pillar,/nearshore-it-staffing/,nearshore IT staffing,"nearshore it services, it staffing",Landing Page,MOFU,"CTO, CIO",8.8
