"Page","Section","Section Description"
"Home","Navbar",""
"","Hero Header Section","Striking hero with main value prop ""Fix Your Margins. Scale Your Care."" and CTA ""Start 90-Day Pilot"""
"","Logo List Section","Grid of logos with heading ""Trusted By"" featuring Yardi, PointClickCare, Sage"
"","Features List Section","Features list titled ""The MezTal Guarantee"": Risk-Free, Compliance, Speed"
"","Stats Section","Metrics dashboard with Cost Savings, Time-to-Fill, Retention Rate"
"","Testimonial Section","Testimonial carousel with executive quotes from Atlas Senior Living, Anthem, etc."
"","Blog List Section","Feed of latest blog posts titled ""Latest Insights"""
"","Footer",""
"Solutions Hub","Navbar",""
"","Header Section","Page header with title ""Solutions Hub"" and brief intro about MezTal's staffing solutions for senior living & healthcare."
"","Features List Section","Bento grid layout featuring each solution: Augmented Workforce, IT Staffing, Finance, HR, Call Center, EOR, Marketing, Admin, Digital Agencies (each as separate feature card with icon and summary)."
"","Feature Section","Prominent ""Start with One"" Pilot Offer block highlighting risk-free pilot and call-to-action."
"","Footer",""
"Industries Hub","Navbar",""
"","Header Section","Page introduction highlighting MezTal’s expertise across key industries, with Senior Living as the priority."
"","Features List Section","List of industries served: Senior Living (Priority), Real Estate, Healthcare, FinTech, Logistics, Non-Profit. Each industry features an icon and brief description."
"","FAQ Section","Common questions about MezTal’s industry experience and tailored solutions (optional, if space allows)."
"","CTA Section","Prompt to connect with a specialist for a custom solution or to ""Start Your 90-Day Pilot""."
"","Footer",""
"Why Mexico","Navbar",""
"","Header Section","Page intro: ""Why Mexico: The Smart Choice for Nearshore Talent. Discover why leading healthcare & senior living organizations choose Mexico for compliant, high-performing teams."""
"","Feature Section","Split Feature: Benefits of nearshore (proximity, cultural alignment, timezone advantage, English fluency) with supporting copy and icons."
"","How It Works Section","How MezTal leverages Mexico’s workforce for clients—highlighting compliance, speed, and retention."
"","Gallery Section","Interactive map of Mexico & Latin America with pinned cities (Guadalajara, CDMX, Monterrey, Colombia), each clickable for city-specific info."
"","Features List Section","City Grid: Key advantages of Guadalajara, CDMX, Monterrey, Colombia—talent pool size, industry focus, infrastructure."
"","CTA Section","Call-to-action: ""Start Your Pilot in Mexico – See the Difference in 90 Days."""
"","Footer",""
"Resources","Navbar",""
"","Header Section","Page header introducing the Resource Library and its value for clients and candidates"
"","Resources List Section","Card grid displaying downloadable guides, whitepapers, reports, and other resource types"
"","Newsletter Section","Optional: Invite users to subscribe for future insights and resources"
"","CTA Section","Prompt to explore more insights or contact MezTal for tailored solutions"
"","Footer",""
"Company","Navbar",""
"","Header Section","Corporate page header introducing MezTal, its mission, and what sets the company apart"
"","About Section","Brief summary of MezTal’s history, values, and purpose"
"","Team Section","Intro to leadership with CTA to full Leadership page"
"","Partner Logos List Section","Showcase trusted partners with CTA to Partners sub-page"
"","Benefits Section","Highlight what clients and talent gain from working with MezTal"
"","Stats Section","Company-wide impact stats (years in business, clients, talent placed, etc.)"
"","Award Logos List Section","Display notable certifications (SOC2, HIPAA) and awards"
"","CTA Section","Call-to-action for “Start 90-Day Pilot” or “Hire Talent”"
"","Footer",""
"About Us","Navbar",""
"","Header Section","Page intro with ""Who We Are"" and core MezTal story—bridging top Latin American talent with US senior living & healthcare."
"","About Section","Deeper dive into MezTal’s mission, vision, and values."
"","Timeline Section","Visual timeline: MezTal’s founding, milestones, and growth story."
"","Team Section","Intro to leadership team with photos and roles."
"","Testimonial Section","Highlight internal culture or partner quotes."
"","FAQ Section","Answer top questions about MezTal, culture, and operations."
"","CTA Section","Call-to-action: ""Meet Our Team"" or ""Contact Us"" for partnership inquiries."
"","Footer",""
"Leadership","Navbar",""
