"Page","Section","Section Description"
"Home","Navbar",""
"","Hero Header Section","Headline ""Fix Your Margins. Scale Your Care."" with subtext tailored for Senior Living operators and a prominent CTA encouraging engagement."
"","Features List Section","List of MezTal's core value propositions for Senior Living and Healthcare (e.g., ""Certified Nearshore Talent"", ""14 Day Pilot Kickoff"", ""All Roles: AP, Recruiter, Admin"")."
"","Feature Section","Pilot Offer: Spotlight on ""Start with 1 Role (AP, Recruiter, or Admin) in 14 Days"" with supporting details and CTA."
"","Customer Logos List Section","Showcase trusted partner platforms/logos (Yardi, PointClickCare, Sage, Netsuite) with ""Trusted by Leading Platforms"" label."
"","Benefits Section","Highlight cost savings, operational reliability, and compliance benefits of using MezTal for US-based Senior Living."
"","About Section","Brief introduction to MezTal’s mission and nearshore expertise in senior care and healthcare staffing."
"","Stats Section","Display data points like average cost savings, fill time, retention rates, and NPS."
"","Testimonial Section","Quotes from satisfied Senior Living clients describing their MezTal experience."
"","How It Works Section","Step-by-step explanation of MezTal’s process, from pilot setup to scaling teams (""The MezTal Guarantee"")."
"","CTA Section","Encourage visitors to ""Book a Consultation"" or ""Start Your Pilot"" with MezTal."
"","FAQ Section","Top questions about MezTal’s process, pilot programs, pricing, and compliance."
"","Contact Section","Contact information and quick inquiry prompt for prospective clients."
"","Footer",""
"Solutions Hub","Navbar",""
"","Header Section","Intro header: ""Build Your Nearshore Dream Team. Explore MezTal Solutions for Every Function."" Includes brief explanation of the bento card grid and search/filter functionality."
"","Features List Section","Key value props of MezTal’s solutions: ""US-Aligned Talent"", ""14-Day Pilot"", ""All-Inclusive Pricing""."
"","Feature Section","Spotlight on ""Talent Search"" UI: Interactive search bar or filter to quickly find solutions by role, department, or need."
"","Gallery Section","Bento Grid: Visual grid of solution cards, each representing a service category (Augmented Workforce, IT Staffing, Finance & Accounting, HR & Talent, Call Center, EOR, Marketing, Admin, Digital Agencies). Each card includes icon, brief description, and CTA button for more details."
"","CTA Section","Strong CTA inviting users to ""Book a Solution Consultation"" or ""Start Your Pilot Today""."
"","Footer",""
"Industries Hub","Navbar",""
"","Header Section","Headline “Industries We Serve” with subtext: “Specialized Nearshore Solutions for Your Sector. MezTal empowers organizations across Senior Living, Real Estate, Healthcare, FinTech, Logistics, and Non-Profit with certified, reliable talent.”"
"","Features List Section","List core value props relevant to all industries (e.g., “Certified Talent,” “US Time Zone Alignment,” “SOC2 & HIPAA Compliance”)."
"","Feature Section","Prominent Feature: Senior Living (Priority) – dedicated block highlighting MezTal’s expertise and outcomes in Senior Living."
"","Project List Section","Vertical industry list with clickable items: Senior Living (Priority), Real Estate, Healthcare, FinTech, Logistics, Non-Profit. Each item features an icon, summary, and “Explore” CTA."
"","FAQ Section","Answers to industry-specific questions regarding MezTal’s approach, compliance, and integration."
"","CTA Section","Prompt: “Discover How MezTal Can Transform Your Industry. Book a Consultation.”"
"","Footer",""
"Why Mexico","Navbar",""
"","Header Section","Page title ""Why Mexico: The Nearshore Advantage"" with brief intro emphasizing proximity, talent, and compliance for Senior Living and Healthcare."
"","Feature Section","Feature: ""Strategic Nearshore Location""—Highlighting shared time zones, cultural affinity, and seamless US collaboration."
"","Gallery Section","Interactive Map Visual: Display North America with Mexico and Colombia highlighted, showing key cities (Guadalajara, CDMX, Monterrey, Bogotá)."
"","Features List Section","Three key advantages: 1) World-Class Talent, 2) Cost Efficiency, 3) Regulatory Alignment (SOC2, HIPAA)."
"","Timeline Section","Timeline: Evolution of Mexico’s tech and business ecosystem—milestones in outsourcing, tech hub growth, and US-Mexico partnerships."
"","Stats Section","Stats Grid: Compare cities (Guadalajara, CDMX, Monterrey, Bogotá) on universities, English proficiency, talent availability, and time zone overlap."
"","Feature Section","Feature: ""Colombia Expansion""—Why MezTal includes Colombia in the nearshore network."
"","Contact Section","Prompt for clients to inquire about specific talent locations or schedule a call with MezTal’s advisory team."
"","Footer",""
"Resources","Navbar",""
"","Header Section","Intro headline: ""Expert Insights & Actionable Resources for Senior Living & Healthcare Leaders."" Brief subtext outlining the value and variety of resources available (guides, case studies, compliance updates, etc.)."
"","Resources List Section","Library-style grid or list of downloadable resources, whitepapers, guides, and compliance checklists. Each resource card includes a title, short summary, category tag, and ""View Resource"" CTA."
"","Featured Blog List Header Section","“From the MezTal Blog” – horizontal strip of 3–4 highlighted blog articles relevant to senior living, healthcare staffing, or industry trends."
"","Featured Case Study List Header Section","Highlight 2–3 recent or impactful case studies demonstrating MezTal’s results and expertise."
"","Featured Resources List Header Section","Spotlight 2–3 most popular or high-value downloadable guides, eBooks, or reports."
"","FAQ Section","Frequently asked questions specific to using MezTal’s resources, accessing downloads, or requesting custom insights."
"","CTA Section","Encourage visitors to subscribe to the newsletter or contact MezTal for tailored resource requests (""Get Exclusive Industry Insights in Your Inbox"")."
"","Footer",""
"Resource Item","Navbar",""
"","Resource Item Header Section","Resource title, author, date, featured image, and brief summary or key takeaway."
"","Resource Item Body Section","Full content of the resource (article, guide, whitepaper, checklist, etc.), including headings, images, and relevant downloads or embeds."
"","FAQ Section","Frequently asked questions related to the resource topic (optional, if relevant to resource)."
"","CTA Section","Encouragement to download, share, or explore related resources; optional prompt to contact MezTal for solutions."
"","Blog List Section","""Related Resources"" or ""You Might Also Like""—grid/list of 3-5 related resources."
"","Footer",""
"Company","Navbar",""
"","Header Section","Page header introducing MezTal as the premium nearshore partner for Senior Living & Healthcare, with a focus on trust, compliance, and leadership."
"","About Section","Brief overview of MezTal’s mission, values, and dedication to elevating care through nearshore talent solutions."
"","Team Section","Spotlight on company leadership with photos, titles, and short bios."
"","Testimonial Section","Client and partner testimonials emphasizing trust, satisfaction, and industry expertise."
"","Features List Section","Key differentiators: SOC2/HIPAA compliance, all-inclusive pricing, The MezTal Guarantee, and dual-track partnership opportunities."
"","How It Works Section","Summary of MezTal’s streamlined onboarding and talent matching process."
"","Contact Section","Direct contact information for business inquiries, partnership discussions, and media requests."
"","Footer",""
"About Us","Navbar",""
"","Header Section","Page title: ""About MezTal"" with subheader: ""Where Care Meets Code. Your Trusted Nearshore Partner for Senior Living & Healthcare."""
"","About Section","Brief narrative of MezTal’s founding, vision, and commitment to elevating care through technology-enabled nearshore staffing."
