primary keyword,secondary keyword,top cluster,page type,content type,funnel stage,persona,proposed url,triangulated priority score
meztal events calendar,event schema + upcoming and past events,Culture & Community,Hub,Calendar,TOFU,General audience; Talent market; Partners,/events/,74
meztal news and announcements,company news and updates,News & PR,Hub,News hub,MOFU,All buyer roles; Talent market,/news/,70
meztal culture hub,global culture and celebrations,Culture & Community,Hub,Culture hub,TOFU,General audience; Talent market,/community/,64
life at meztal,culture collaboration growth and community,Employer Brand,Guide,Life at MezTal,TOFU,Talent market; Partners,/community/life-at-meztal/,60
meet the meztal team,employee profiles and featured stories,Employer Brand,Guide,Team profiles,TOFU,Talent market; Partners,/community/team/,60
meztal team and values,meet the team and our values,Employer Brand,Hub,People & values hub,TOFU,Talent market; Partners,/community/team-and-values/,60
meztal values,principles and culture,Employer Brand,Guide,Values page,TOFU,Talent market; Partners,/community/values/,60
day of the dead,traditions dia de muertos,Culture & Community — Observances,Guide,Blog/Guide,TOFU,General audience,/community/observances/day-of-the-dead/,58
mexican constitution day,history and traditions,Culture & Community — Observances,Guide,Blog/Guide,TOFU,General audience,/community/observances/mexican-constitution-day/,58
alzheimers and brain awareness month,awareness and education,Culture & Community — Observances,Guide,Blog/Guide,TOFU,General audience,/community/observances/alzheimers-brain-awareness-month/,54
international day of older persons,history and observance ideas,Culture & Community — Observances,Guide,Blog/Guide,TOFU,General audience,/community/observances/international-day-of-older-persons/,54
international womens day,history and how to celebrate at work,Culture & Community — Observances,Guide,Blog/Guide,TOFU,General audience,/community/observances/international-womens-day/,54
national tequila day,history and responsible celebration,Culture & Community — Observances,Guide,Blog/Guide,TOFU,General audience,/community/observances/national-tequila-day/,54
st patricks day,history and celebrations,Culture & Community — Observances,Guide,Blog/Guide,TOFU,General audience,/community/observances/st-patricks-day/,54
thanksgiving day,history and celebrations,Culture & Community — Observances,Guide,Blog/Guide,TOFU,General audience,/community/observances/thanksgiving-day/,54
world cancer day,awareness and education,Culture & Community — Observances,Guide,Blog/Guide,TOFU,General audience,/community/observances/world-cancer-day/,54
world environment day,history and observance ideas,Culture & Community — Observances,Guide,Blog/Guide,TOFU,General audience,/community/observances/world-environment-day/,54
world introvert day,history and observance ideas,Culture & Community — Observances,Guide,Blog/Guide,TOFU,General audience,/community/observances/world-introvert-day/,54
world photography day,history and participation,Culture & Community — Observances,Guide,Blog/Guide,TOFU,General audience,/community/observances/world-photography-day/,54
world vegan day,history and observance ideas,Culture & Community — Observances,Guide,Blog/Guide,TOFU,General audience,/community/observances/world-vegan-day/,54
