Framework/Methodology,Description,Key Components,Best For,Complexity,Sales Stage Focus,Primary Use Case,Sales Cycle Fit,Customer Type,Success Metric
SPIN Selling,"Focuses on consultative sales with questions about the situation, problem, implication, and need-payoff.","Situation, Problem, Implication, Need-Payoff","Complex B2B sales, consultative selling",Medium,Qualification,Complex solution selling,Medium to Long,B2B,"Client retention, deal size"
Challenger Sales,"Teaches customers new insights, tailors solutions to their needs, and takes control of the conversation.","Teach, Tailor, Take Control",Sales where prospects resist change,High,Prospecting & Pitching,Challenging established norms,Long,B2B,Increased conversion rate
SNAP Selling,"Simplifies the sales process for busy decision-makers by being invaluable, aligned, and focusing on priorities.","Simple, Invaluable, Aligned, Priority","Busy decision-makers, short sales cycles",Low,Prospecting,Simple decision-making,Short,B2B & B2C,Shortened sales cycle
MEDDIC,"Qualification framework focusing on metrics, decision criteria, economic buyers, and internal champions.","Metrics, Economic Buyer, Decision Criteria, Decision Process, Identify Pain, Champion",Complex B2B deals with multiple stakeholders,High,Qualification,"Complex, enterprise sales",Long,B2B,"Stakeholder alignment, closed deals"
Value-Based Selling,Emphasizes selling value and ROI over product features. Focuses on demonstrating cost savings or growth.,"ROI, TCO, Value Proposition",High-value product/service with ROI focus,Medium,All Stages,ROI-focused sales,Medium to Long,B2B,"ROI, TCO savings"
Sandler Sales,A consultative approach that helps sales reps build rapport and discover the prospect's pain points.,"Pain Discovery, Rapport Building, Negative Reverse Selling","Relationship-based selling, SMBs",Medium,Discovery & Pitching,Building deep rapport with clients,Short to Medium,B2B & B2C,Relationship strength
Solution Selling,Focuses on selling a comprehensive solution rather than a standalone product to meet specific needs.,"Problem Diagnosis, Solution Customization",Complex sales needing tailored solutions,High,Closing,Tailored solutions for unique customer needs,Long,B2B,"Client success, repeat deals"
Gap Selling,Identifies the gap between the prospect's current state and their desired future state to create urgency.,"Current State, Future State, Gap Identification",Gap identification in long-term strategies,High,Discovery & Qualification,Change management sales,Long,B2B,Reduced sales cycle
Pyramid Principle,"Uses a top-down approach to address problems, presenting the solution first followed by the explanation.","Problem, Solution, Explanation",Consultative selling to senior decision-makers,Medium,Closing,Executive-level selling,Medium,B2B,Executive-level buy-in
Conceptual Selling,Focuses on selling based on how the product fits into the customer’s conceptual understanding of their needs.,"Customer Needs, Concept Fit",Selling complex solutions to new industries,Medium,Discovery & Pitching,Industry-specific sales,Medium,B2B & B2C,New market penetration
6 Whys,"Helps answer why the customer should change, buy now, buy from you, and why your price is justified.","Why Change, Why Now, Why You, Why Price, Why Trust",Any sale that needs clarity on urgency,Low,Qualification,Creating urgency in sales,Short,B2B & B2C,Sales velocity
TAS (Target Account Selling),"Strategic approach for selling to complex, high-value accounts by mapping out all decision-makers and processes.","Stakeholder Mapping, Multi-Threading, Account Planning","Enterprise sales, long-term strategic accounts",High,All Stages,Large account management,Long,B2B,Long-term client acquisition
Command of the Sale,Focuses on deeply understanding the customer’s challenges and the economic impact of the solution.,"Quantify Pain, Impact Selling, Customer Knowledge",Deals where understanding customer pain is crucial,High,Qualification & Pitching,High-value consultative selling,Long,B2B,"High deal size, ROI"
Solution Challenger,"Hybrid of Challenger and Solution Selling: provides insights and challenges the status quo, then customizes the solution.","Insight Selling, Solution Customization",Complex B2B with challenger needs,High,Prospecting & Closing,Challenger sales in complex fields,Long,B2B,Higher win rates
CEB Commercial Insight,"Delivers unique, tailored insights to prospects to challenge their current thinking and offer new solutions.","Tailored Insights, Decision-Maker Engagement","C-level decision-makers, complex industries",High,Prospecting,Consultative sales with decision-makers,Long,B2B,Strategic relationship building
GOALS Framework,"Deepens understanding of a prospect's goals by identifying gaps, obstacles, and leveraging strengths.","Gaps, Obstacles, Accomplishments, Leverage, Solutions",Consultative sales with defined goals,Medium,Discovery,Goal-oriented consulting,Medium,B2B,Goal alignment
"Why You, Why Now",A framework to clearly articulate the urgency of acting now and why your solution is the best fit.,"Urgency, Differentiation, Why You, Why Now",Fast sales cycles needing urgency,Low,Closing,Quick sales closures,Short,B2B,Fast conversions
R.E.A.P.,"Engages with research, activates interest by addressing pain points, and proposes tailored solutions.","Research, Engage, Activate, Propose","Consultative, enterprise sales",Medium,All Stages,Consultative and long-term deals,Medium,B2B,Client satisfaction
The Value Ladder,Gradually builds relationships and lifetime value by progressing from small to premium offers.,"Initial Offer, Core Offer, Upsell, Premium Offer","Long-term customer relationships, SaaS",Medium,Post-Sale,Customer relationship building,Long,B2B,Customer lifetime value
Insight-Led Selling,"An evolved consultative selling approach, using data-driven insights to provoke new thinking.","Data-Driven Insights, Strategic Alignment","Enterprise, consultative selling with data",High,Prospecting & Closing,"ROI-focused, data-heavy sales",Long,B2B,"ROI, total savings"
Value-Based Selling (TCO/ROI),Advanced version of Value-Based Selling with a focus on calculating ROI and Total Cost of Ownership (TCO).,"ROI Calculation, TCO Analysis, Business Impact","Enterprise sales, ROI-driven purchases",High,Closing,High-value sales,Medium to Long,B2B,Profit margins
Challenger Customer,Goes beyond individual sales by helping organizations build internal support and consensus for your solution.,"Mobilizer Identification, Consensus Selling","Enterprise-level, consensus-building sales",High,Closing,Consensus building in large organizations,Long,B2B,Internal advocacy
PASE,Similar to PAS but adds evidence to back up the solution with case studies and success stories.,"Problem, Agitation, Solution, Evidence",Deals requiring strong proof,Medium,Closing,Proof-driven product sales,Short to Medium,B2B & B2C,Conversion rate
