Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,Competitor,Competitor Presence (raw),Competitor URL,Meztal Presence (raw),Meztal URL,Results,Source File,Source Tab,Import Timestamp
peo,Informational,40500,63,12.65,0.3,meztal.com,0,,0,,35300000,,,
peo,Informational,40500,63,12.65,0.3,hirewithnear.com,44,https://www.hirewithnear.com/blog/what-is-a-peo,0,,35300000,,,
performance improvement plan,Informational,33100,33,3.3,0.02,meztal.com,0,,0,,468000000,,,
performance improvement plan,Informational,33100,33,3.3,0.02,hirewithnear.com,35,https://www.hirewithnear.com/blog/how-to-create-performance-improvement-plan,0,,468000000,,,
hire in job,Commercial,18100,100,1.37,0.23,meztal.com,0,,0,,495000000,,,
hire in job,Commercial,18100,100,1.37,0.23,hirewithnear.com,82,https://www.hirewithnear.com/find-a-job,0,,495000000,,,
eor,Informational,14800,42,45.29,0.44,meztal.com,0,,0,,10800000,,,
eor,Informational,14800,42,45.29,0.44,hirewithnear.com,69,https://www.hirewithnear.com/blog/comprehensive-eor-guide,0,,10800000,,,
talent acquisition,Informational,14800,57,4.87,0.19,meztal.com,0,,0,,219000000,,,
talent acquisition,Informational,14800,57,4.87,0.19,hirewithnear.com,37,https://www.hirewithnear.com/blog/what-is-talent-acquisition,0,,219000000,,,
