,uid,source_title,source_link,source_type,file_id / tab_name / row_idx_or_section,content_type,field_key,field_value,related_page_url,recommended_url,priority,status,tags,provenance,evidence_snippet,confidence,author_or_owner,date_found,version_introduced
0,ssot-aea4a7850f,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 0,URL,recommended_url,/nearshore-staffing-firm-mexico/,/nearshore-staffing-firm-mexico/,/nearshore-staffing-firm-mexico/,,,"Pillar, US buyers, Nearshoring",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,optimized_url,High,,2025-09-03,v0.5.0
1,ssot-df2ded5bb7,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 0,Page_Meta,Meta Title,Nearshore Staffing Firm Mexico | MezTal,/nearshore-staffing-firm-mexico/,/nearshore-staffing-firm-mexico/,,,"Pillar, US buyers, Nearshoring",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,meta_title,High,,2025-09-03,v0.5.0
2,ssot-6028ff4804,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 0,Page_Meta,Meta Description,Nearshore staffing firm in Mexico—hire top talent with US time‑zone alignment. MezTal recruits and manages HR/payroll so you run the team.,/nearshore-staffing-firm-mexico/,/nearshore-staffing-firm-mexico/,,,"Pillar, US buyers, Nearshoring",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,meta_description,High,,2025-09-03,v0.5.0
3,ssot-4fbe8f5264,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 0,H1,H1,Nearshore Staffing Firm Mexico,/nearshore-staffing-firm-mexico/,/nearshore-staffing-firm-mexico/,,,"Pillar, US buyers, Nearshoring",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,on_page_h1,High,,2025-09-03,v0.5.0
4,ssot-c595232a1e,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 6,URL,recommended_url,/services/nearshore-software-development/,/services/nearshore-software-development/,/services/nearshore-software-development/,,,"Service, Software, GDL/MX",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,optimized_url,High,,2025-09-03,v0.5.0
5,ssot-0e467602f8,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 6,Page_Meta,Meta Title,Nearshore Software Development Mexico | MezTal,/services/nearshore-software-development/,/services/nearshore-software-development/,,,"Service, Software, GDL/MX",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,meta_title,High,,2025-09-03,v0.5.0
6,ssot-3b0916132c,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 6,Page_Meta,Meta Description,"Nearshore Software Development in Mexico. Hire vetted teams with US time‑zone overlap while MezTal manages HR, payroll, and compliance.",/services/nearshore-software-development/,/services/nearshore-software-development/,,,"Service, Software, GDL/MX",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,meta_description,High,,2025-09-03,v0.5.0
7,ssot-d63907a7cc,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 6,H1,H1,Nearshore Software Development Mexico,/services/nearshore-software-development/,/services/nearshore-software-development/,,,"Service, Software, GDL/MX",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,on_page_h1,High,,2025-09-03,v0.5.0
8,ssot-ef57d9198c,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 23,URL,recommended_url,/comparisons/nearshore-vs-offshore/,/comparisons/nearshore-vs-offshore/,/comparisons/nearshore-vs-offshore/,,,"Comparison, Strategy",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,optimized_url,High,,2025-09-03,v0.5.0
9,ssot-138eb4c2a6,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 23,Page_Meta,Meta Title,Nearshore vs Offshore | MezTal,/comparisons/nearshore-vs-offshore/,/comparisons/nearshore-vs-offshore/,,,"Comparison, Strategy",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,meta_title,High,,2025-09-03,v0.5.0
10,ssot-bdfe40f332,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 23,Page_Meta,Meta Description,"Nearshore Vs Offshore: clear pros and cons for US teams. Learn costs, time‑zone impact, and how MezTal reduces risk and overhead.",/comparisons/nearshore-vs-offshore/,/comparisons/nearshore-vs-offshore/,,,"Comparison, Strategy",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,meta_description,High,,2025-09-03,v0.5.0
