"KW Cluster / Topic","Intent (Awareness, Consideration, Decision)","Core KWP(s)","Search Volume","Content Type","Funnel Stage","Target Persona","Competitor URL/Benchmark","User Pain Point/Trigger","Format/Asset","SEO Opportunity (Hi/Med/Lo)","E-E-A-T Angle","Value Add/Hook","Next Steps / Status","Owner/Deadline","Notes"
"Nearshoring in Mexico","Awareness","nearshoring mexico","8,000","Pillar Guide","TOFU","US CTO, Ops Dir","competitorsite.com/pillar","“How to start nearshoring?”","Long-form, infographic","High","Expert quotes","Case studies, stats","Outline complete","SEO/Content Lead","Add decision checklist; FAQ schema"
"Nearshore Dev Teams for SaaS","Consideration","nearshore dev team saas","1,500","Explainer + Compare","MOFU","SaaS Founder","competitor.com/dev-teams","“Finding reliable offshore?”","Comparison, case study","High","Tech interviews","Downloadable evaluation tool","Research competitor content","Writer/2 weeks","Include LLM-generated QA"
"Nearshoring vs Offshoring","Consideration/Decision","nearshore vs offshore","900","Comparison Table","MOFU/BOFU","Finance, Ops","competitor.com/compare","“Offshore pain points”","Table, calculators, video","Medium","Video explainer","ROI calculator","Draft outline","Content Lead/10 days","Add testimonial from US-based client"
"Bilingual Mexican Developers","Awareness/Consideration","bilingual devs mexico","700","Blog + FAQ","TOFU","Tech Lead, HR","competitive.com/bilingual","“Communication concerns”","FAQ, interview questions","Medium","HR guest post","Downloadable checklist","Needs research","Writer/3 weeks","Survey current clients"
"Nearshoring ROI Calculator","Decision","nearshore ROI calculator","500","Interactive Tool","BOFU","CFO, Founder","competitor.com/roi-calculator","“Is nearshoring worth it?”","Web tool, explainer, CTA","High","Data analyst","Custom PDF report","Design wireframe","Dev/Designer/1 month","Pull data from industry benchmarks"
"Client Onboarding Guide","BOFU/Support","nearshore onboarding","250","How-to Guide","BOFU","Ops, Project Mgr","competitor.com/onboarding","“Onboarding process risky”","Checklist download, video","Medium","Ops expert","Downloadable template","Draft in progress","Content/1 week","Collect client testimonials"
"Nearshoring FAQ","Mixed","nearshoring faq","1,400","FAQ/Hero List","TOFU/MOFU","Broad","competitor.com/faq","All common questions","FAQ schema, glossary","High","Internal expert","“Ask us” form/CTA","Add to main navigation","SEO/5 days","Update quarterly with new Qs"
"Nearshoring for U.S. Healthcare","Consideration/Decision","nearshore mexico healthcare","1,100","Vertical Blog/Case","MOFU/BOFU","Healthcare COO","competitor.com/healthcare","“HIPAA, compliance fears”","Blog, checklist, compliance","High","Healthcare lawyer","HIPAA checklist, templates","Needs SME review","Healthcare SME/2 weeks","Get legal review for accuracy"
"Price Transparency in Nearshoring","Consideration/Decision","nearshore pricing mexico","650","Explainer + FAQ","MOFU/BOFU","Finance, CEO","competitor.com/pricing","“What’s the total cost?”","Pricing breakdown, calculator","High","CFO insight","Real cost calculator","Collect pricing data","Marketing/2 weeks","Link to quote request form"
"…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…"
