primary keyword,secondary keyword,top cluster,page type,content type,funnel stage,persona,proposed url,triangulated priority score
hire controller,nearshore controller mexico,Accounting & Finance Teams,Role page (service),Sales/Service landing,BOFU,"CFO, VP Finance, Controller",/teams/accounting/controller/,100
hire accounts receivable specialist,nearshore ar specialist mexico,Accounting & Finance Teams,Role page (service),Sales/Service landing,BOFU,"Controller, AR Manager",/teams/accounting/accounts-receivable/,100
hire payroll specialist,nearshore payroll specialist mexico,Accounting & Finance Teams,Role page (service),Sales/Service landing,BOFU,"CFO, HR/People Ops",/teams/accounting/payroll-specialist/,100
hire accounts payable specialist,nearshore ap specialist mexico,Accounting & Finance Teams,Role page (service),Sales/Service landing,BOFU,"Controller, AP Manager",/teams/accounting/accounts-payable/,100
hire assistant controller,nearshore assistant controller mexico,Accounting & Finance Teams,Role page (service),Sales/Service landing,BOFU,"CFO, Controller",/teams/accounting/assistant-controller/,100
hire staff accountant,nearshore staff accountant mexico,Accounting & Finance Teams,Role page (service),Sales/Service landing,BOFU,Controller,/teams/accounting/staff-accountant/,100
hire senior accountant,nearshore senior accountant mexico,Accounting & Finance Teams,Role page (service),Sales/Service landing,BOFU,"Controller, VP Finance",/teams/accounting/senior-accountant/,100
hire accounting manager,nearshore accounting manager mexico,Accounting & Finance Teams,Role page (service),Sales/Service landing,BOFU,"CFO, VP Finance",/teams/accounting/accounting-manager/,100
accounting team nearshore,build accounting team mexico,Accounting & Finance Teams,Function pillar,Pillar page (team structure & savings),MOFU,"CFO, VP Finance, Controller",/teams/accounting/,96
senior living accounting team,nearshore senior living accountants,Senior Living & Care,Industry vertical,Pillar page (industry-specific),MOFU,"CFO, VP Ops (Senior Living)",/industries/senior-living/accounting-team/,92
senior living payroll specialists,nearshore payroll for senior care,Senior Living & Care,Industry vertical,Service landing (Payroll),BOFU,"CFO, HR Lead (Senior Living)",/industries/senior-living/payroll-specialists/,92
home health accounts receivable,nearshore ar for home health,Senior Living & Care,Industry vertical,Service landing (AR focus),BOFU,"CFO, Billing Manager (Home Health)",/industries/home-health/accounts-receivable/,92
why guadalajara,nearshore talent guadalajara,MezTal Model,Location page,Explainer page,MOFU,"CTO, VP Ops, Security/IT",/why-guadalajara/,86
how meztal works,scope select launch operate,MezTal Model,Explainer page,Process page,MOFU,"Founder/CEO, COO, Head of TA",/how-it-works/,86
client success & support teams mexico,nearshore customer success mexico,Function Pillars,Function pillar,Pillar page,MOFU,"VP Customer Success, VP Ops",/teams/client-success-support/,86
product & engineering teams mexico,nearshore software engineers guadalajara,Function Pillars,Function pillar,Pillar page,MOFU,"CTO, VP Eng",/teams/product-engineering/,86
finance & analytics teams mexico,nearshore fp&a data analyst mexico,Function Pillars,Function pillar,Pillar page,MOFU,"CFO, FP&A Lead",/teams/finance-analytics/,86
hire devops sre,nearshore devops sre mexico,HealthTech,Role page,Sales/Service landing,BOFU,"CTO, VP Eng (HealthTech)",/industries/healthtech/devops-sre/,82
healthtech staffing mexico,nearshore healthtech teams mexico,MezTal Model,Industry pillar,Pillar page,MOFU,Founder/CEO (HealthTech),/industries/healthtech/,82
hire ui ux designer,nearshore ui ux mexico,HealthTech,Role page,Sales/Service landing,BOFU,"Head of Product, Design Lead",/industries/healthtech/ui-ux-designer/,82
hire qa engineer,nearshore qa engineer mexico,HealthTech,Role page,Sales/Service landing,BOFU,"CTO, VP Eng (HealthTech)",/industries/healthtech/qa-engineer/,82
hire help desk lead (healthtech),nearshore help desk lead healthtech,HealthTech,Role page (industry-specific),Sales/Service landing,BOFU,IT Ops Lead (HealthTech),/industries/healthtech/help-desk-lead/,82
hire healthtech customer success manager,nearshore csm mexico healthtech,HealthTech,Role page (industry-specific),Sales/Service landing,BOFU,VP Customer Success (HealthTech),/industries/healthtech/customer-success-manager/,82
senior living customer support,nearshore resident support team,Senior Living & Care,Industry vertical,Service landing (Client Success & Support),MOFU,"VP Ops, CX Lead (Senior Living)",/industries/senior-living/customer-support/,82
agetech engineering team,nearshore engineers for agetech,Senior Living & Care,Industry vertical,Pillar page (Engineering for AgeTech),MOFU,"CTO, VP Eng (Startups)",/industries/age-tech/engineering-team/,82
pharmacy customer support,nearshore pharmacy support team,Senior Living & Care,Industry vertical,Service landing (Support),MOFU,"COO, CX Lead (Pharmacy/Ancillary)",/industries/pharmacy/customer-support/,82
