primary keyword,secondary keyword,top cluster,page type,content type,funnel stage,persona,proposed url,triangulated priority score
healthtech nearshore teams,dedicated nearshore talent for healthtech,HealthTech,Industry pillar,Pillar page,MOFU,Founder/CEO; COO; CTO,/industries/healthtech/,100
nearshore product & engineering healthtech,software engineers guadalajara,HealthTech — Product & Engineering,Function pillar,Pillar page,MOFU,CTO; VP Engineering; Head of Product,/industries/healthtech/product-engineering/,96
how meztal works,scope select launch operate,MezTal Model,Explainer,Process page,MOFU,Founder/CEO; COO; Head of TA,/how-it-works/,90
why guadalajara,healthtech talent in mexico (gdl),MezTal Model,Location page,Explainer page,MOFU,CTO; IT/Security; VP Ops,/why-guadalajara/,90
nearshore client success & support healthtech,healthtech support team mexico,HealthTech — Client Success & Support,Function pillar,Pillar page,MOFU,VP Customer Success; Head of Support,/industries/healthtech/client-success-support/,86
nearshore finance & analytics healthtech,fpa and data analysts mexico,HealthTech — Finance & Analytics,Function pillar,Pillar page,MOFU,CFO; Head of FP&A; Finance Director,/industries/healthtech/finance-analytics/,86
nearshore growth marketing healthtech,digital marketing mexico healthtech,HealthTech — Growth,Function pillar,Pillar page,MOFU,CMO; Head of Growth/Marketing,/industries/healthtech/growth/,86
nearshore backend engineer healthtech,backend engineer guadalajara,HealthTech — Product & Engineering,Role page (industry-specific),Sales/Service landing,BOFU,CTO; VP Engineering; Head of Product,/industries/healthtech/backend-engineer/,82
nearshore devops sre healthtech,devops sre guadalajara,HealthTech — Product & Engineering,Role page (industry-specific),Sales/Service landing,BOFU,CTO; VP Engineering; Head of Product,/industries/healthtech/devops-sre/,82
nearshore frontend engineer healthtech,frontend engineer guadalajara,HealthTech — Product & Engineering,Role page (industry-specific),Sales/Service landing,BOFU,CTO; VP Engineering; Head of Product,/industries/healthtech/frontend-engineer/,82
nearshore full-stack engineer healthtech,full stack engineer mexico,HealthTech — Product & Engineering,Role page (industry-specific),Sales/Service landing,BOFU,CTO; VP Engineering; Head of Product,/industries/healthtech/full-stack-engineer/,82
nearshore qa engineer healthtech,qa engineer mexico healthtech,HealthTech — Product & Engineering,Role page (industry-specific),Sales/Service landing,BOFU,CTO; VP Engineering; Head of Product,/industries/healthtech/qa-engineer/,82
nearshore senior backend engineer healthtech,senior backend engineer mexico,HealthTech — Product & Engineering,Role page (industry-specific),Sales/Service landing,BOFU,CTO; VP Engineering; Head of Product,/industries/healthtech/senior-backend-engineer/,82
nearshore customer success manager healthtech,csm mexico healthtech,HealthTech — Client Success & Support,Role page (industry-specific),Sales/Service landing,BOFU,VP Customer Success; Head of Support,/industries/healthtech/customer-success-manager/,72
nearshore implementation specialist healthtech,implementation specialist mexico,HealthTech — Client Success & Support,Role page (industry-specific),Sales/Service landing,BOFU,VP Customer Success; Head of Support,/industries/healthtech/implementation-specialist/,72
nearshore project manager healthtech,project manager mexico healthtech,HealthTech — Client Success & Support,Role page (industry-specific),Sales/Service landing,BOFU,VP Customer Success; Head of Support,/industries/healthtech/project-manager/,72
nearshore tech support healthtech,technical support mexico healthtech,HealthTech — Client Success & Support,Role page (industry-specific),Sales/Service landing,BOFU,VP Customer Success; Head of Support,/industries/healthtech/tech-support/,72
nearshore business analyst healthtech,business analyst mexico,HealthTech — Finance & Analytics,Role page (industry-specific),Sales/Service landing,BOFU,CFO; Head of FP&A; Finance Director,/industries/healthtech/business-analyst/,72
nearshore controller healthtech,controller mexico healthtech,HealthTech — Finance & Analytics,Role page (industry-specific),Sales/Service landing,BOFU,CFO; Head of FP&A; Finance Director,/industries/healthtech/controller/,72
nearshore data analyst healthtech,data analyst mexico healthtech,HealthTech — Finance & Analytics,Role page (industry-specific),Sales/Service landing,BOFU,CFO; Head of FP&A; Finance Director,/industries/healthtech/data-analyst/,72
nearshore financial systems analyst healthtech,financial systems analyst mexico,HealthTech — Finance & Analytics,Role page (industry-specific),Sales/Service landing,BOFU,CFO; Head of FP&A; Finance Director,/industries/healthtech/financial-systems-analyst/,72
