primary keyword,secondary keyword,top cluster,page type,content type,funnel stage,persona,proposed url,triangulated priority score
accounting manager,accounting manager cost savings,Accounting & Finance Teams,Role page (service),Sales/Service landing,BOFU,Accounting leadership,/teams/accounting/accounting-manager/,100
assistant controller,assistant controller cost savings,Accounting & Finance Teams,Role page (service),Sales/Service landing,BOFU,Accounting leadership,/teams/accounting/assistant-controller/,100
controller (accounting),controller cost comparison,Accounting & Finance Teams,Role page (service),Sales/Service landing,BOFU,Executive & Operations leadership,/teams/accounting/controller/,100
senior accountant,senior accountant cost savings,Accounting & Finance Teams,Role page (service),Sales/Service landing,BOFU,Accounting leadership,/teams/accounting/senior-accountant/,100
accounting cost comparison,us-based employment costs vs meztal costs,Accounting & Finance Teams,Explainer page,Cost tables explainer,MOFU,Executive & Accounting leadership,/teams/accounting/cost-comparison/,96
accounting teams,accounting teams with meztal,Accounting & Finance Teams,Function pillar,Pillar page (team structure & savings),MOFU,Executive & Accounting leadership,/teams/accounting/,96
accounts payable staff,accounts payable cost savings,Accounting & Finance Teams,Role page (service),Sales/Service landing,BOFU,AP leadership; Accounting leadership,/teams/accounting/accounts-payable/,96
accounts receivable staff,accounts receivable cost savings,Accounting & Finance Teams,Role page (service),Sales/Service landing,BOFU,AR leadership; Accounting leadership,/teams/accounting/accounts-receivable/,96
payroll specialist,payroll specialist cost savings,Accounting & Finance Teams,Role page (service),Sales/Service landing,BOFU,HR/Finance leadership,/teams/accounting/payroll-specialist/,96
staff accountant,staff accountant cost savings,Accounting & Finance Teams,Role page (service),Sales/Service landing,BOFU,Accounting leadership,/teams/accounting/staff-accountant/,96
accounting assistant,accounting assistant cost savings,Accounting & Finance Teams,Role page (service),Sales/Service landing,BOFU,Accounting leadership,/teams/accounting/accounting-assistant/,86
accounting team structure example,department staffing org chart,Accounting & Finance Teams,Explainer page,Org structure case example,MOFU,Executive & Accounting leadership,/teams/accounting/team-structure/,86
