"Page","Section","Section Description"
"Home","Navbar",""
"","Hero Header Section","Bold hero section with glassmorphism overlay, headline ""Premium Nearshore Staffing from LatAm to the US"", subhead, and dual CTAs: ""Start Hiring"" and ""Apply Now""."
"","Features List Section","Three-column features list: ""US Time Zone Alignment"", ""Deep Vetting & IP Protection"", ""Enterprise-Ready Talent""."
"","Stats Section","Dynamic bar with MezTal's key stats: Time to hire, Cost savings, Retention rate, and Client NPS."
"","Logo List Section","Row of trusted client logos (e.g., Yardi, PointClickCare, FinTech/Healthcare brands)."
"","Services Section","Bento grid of core solutions: ""Augmented Workforce"", ""IT Staffing"", ""Finance Staffing"", ""HR/EOR""."
"","Case Study List Section","Featured carousel of client success stories with logo, headline, and CTA ""See More""."
"","Events List Section","Upcoming industry webinars and virtual events for US-based CTOs/CFOs."
"","CTA Section","High-visibility call-to-action bar: ""Ready to scale your team? Start Hiring Today."" With button to /hire-talent."
"","FAQ Section","Accordion with top 5 questions: Vetting process, Compliance, Security, Typical roles, Time zones."
"","Benefits Section","3-column benefits: English-fluent talent, Same-day US collaboration, SOC2/HIPAA compliance."
"","Newsletter Section","Email signup: ""Get the latest on LatAm talent trends & MezTal news."""
"","Customer Logos List Section","Secondary row of customer and partner badges for added trust."
"","Footer",""
"Solutions","Navbar",""
"","Header Section","Page title ""Solutions"" with a bold subheader: ""Flexible, compliant nearshore staffing—customized for your business needs."""
"","Features List Section","Three-feature intro: ""Enterprise Augmented Workforce"", ""Specialized IT Teams"", ""Finance & Back Office Experts""."
"","Services Section","Bento grid layout: Large primary card for ""Augmented Workforce"" (highlighted), plus smaller cards for ""IT Staffing"", ""Finance Staffing"", ""HR/EOR Solutions"". Each card includes icon, one-liner, and CTA linking to relevant Role/Service detail."
"","Feature Section","""Why MezTal vs. Traditional Outsourcing""—single feature block with mini-infographic on US time zone, compliance, and integration."
"","Testimonial Section","Client testimonial with logo and quote on success scaling teams with MezTal."
"","CTA Section","""Ready to build your dream team?"" with CTA button to /hire-talent."
"","Footer",""
"Role Landing","Navbar",""
