"Page","Section","Section Description"
"Home","Navbar",""
"","Hero Header Section","Hero section with headline “Build your nearshore team in Guadalajara and Mexico City.” Subhead highlighting 40% savings and overlapping business hours with the US. Primary CTA: “Book a consult”. Secondary CTA: “View roles”."
"","Logo List Section","Trust logos of prominent MezTal clients and partners."
"","How It Works Section","Step-by-step illustration of MezTal’s process: discovery, vetting, onboarding, ongoing support."
"","Features List Section","Overview of MezTal’s key solutions: Augmented Workforce, Finance & Accounting, IT Staffing & Software Development, Workflow Automation, HR & Talent/RPO, Call Center & Support, Marketing & Creative, Admin & Back Office."
"","Services Section","Brief cards or highlights of each staffing solution offered."
"","Features List Section","Priority industries served: Senior Living, Healthcare, AgeTech (with visual highlights and short descriptions)."
"","Comparison Section","Nearshore vs offshore comparison focused on cost, cultural alignment, communication, and business hours."
"","Feature Section","Short “Why Guadalajara and Mexico City” summary: talent pool, cost savings, university pipeline, flight access, lifestyle."
"","Testimonial Section","Client testimonials (Atlas Senior Living, Anthem Memory Care) and employee testimonial."
"","Newsletter Section","Newsletter signup to receive insights and updates."
"","CTA Section","Footer CTAs: Book a consult, View open roles, Download guide, Contact MezTal."
"","Footer",""
"Solutions","Navbar",""
"","Header Section","Page header introducing MezTal’s nearshore staffing solutions for US businesses, emphasizing Guadalajara and Mexico City, 40% cost savings, and overlapping business hours."
"","Features List Section","Grid or card list of solution offerings: Augmented Workforce Solutions, Finance & Accounting, IT Staffing & Software Development, Workflow Automation, HR & Talent / RPO, Call Center & Support, Marketing & Creative, Admin & Back Office. Each card includes a short description and “Learn more” CTA to the respective detail page."
"","Benefits Section","Key benefits of choosing MezTal: strong cultural alignment, vetted English‑proficient talent, clients keep full control over team, MezTal handles HR/IT/payroll."
"","How It Works Section","Overview of the staffing process: discovery, vetting, onboarding, ongoing support."
"","Logo List Section","Trusted by logos from featured clients in target industries."
"","CTA Section","Prominent CTA encouraging users to “Book a Consult” or “Hire Talent,” linking to lead form hub."
"","Footer",""
"Augmented Workforce Solutions","Navbar",""
"","Header Section","Page header introducing “Augmented Workforce Solutions”—how MezTal helps US companies build dedicated remote teams in Guadalajara and Mexico City for scalable, flexible staffing."
"","Feature Section","Pain points solved: Overcoming US talent shortages, reducing costs by ~40%, rapid team scaling, and ensuring cultural and operational alignment."
"","Features List Section","Roles we place: Accountants, IT specialists, Software Engineers, Customer Support Reps, HR Coordinators, Marketing Analysts, Admin Assistants."
"","Feature Section","Sample outcomes: Faster hiring cycles, improved retention, increased productivity, seamless US team integration, and measurable cost savings."
"","Feature Section","Why Guadalajara and Mexico City: Large, English-proficient talent pool, strong universities, convenient flights, overlapping business hours with the US, proven cultural fit."
"","How It Works Section","MezTal’s engagement model: Discovery call, role scoping, talent vetting, onboarding, ongoing HR/IT/payroll support, flexible scaling, full client control over hires."
"","FAQ Section","Common questions: How does MezTal source talent? What are typical team sizes? How does client oversight work? How does MezTal handle payroll/compliance?"
"","CTA Section","Clear CTA to “Hire Talent” (lead form), with secondary CTA to “Contact Us” for custom inquiries."
"","Footer",""
"Finance & Accounting","Navbar",""
"","Hero Header Section","Hero section with headline: “Build your Finance & Accounting team in Guadalajara and Mexico City.” Subhead: “40% cost savings, English-proficient talent, full client control. Overlapping business hours with the US.” Primary CTA: “Book a consult.” Secondary CTA: “View finance roles.”"
"","Header Section","Brief intro: MezTal connects US organizations with vetted finance & accounting professionals in Guadalajara and Mexico City, handling payroll, HR, compliance, and IT."
"","Feature Section","Pain points solved: Difficulty finding affordable, high-quality finance talent in the US, turnover, lack of scalability, and compliance challenges."
"","Features List Section","Roles we place: Accountants, Controllers, AP/AR Specialists, Payroll Specialists, Financial Analysts, Bookkeepers, CPAs."
"","Features List Section","Sample outcomes: 40% average cost savings, streamlined month-end close, improved compliance, rapid team scaling, seamless collaboration in US business hours."
"","Feature Section","Why Guadalajara and Mexico City: Large pool of finance graduates, strong cultural alignment, English proficiency, proximity and easy travel to the US, similar work culture."
"","How It Works Section","Step-by-step process: Discovery call → Role scoping → Candidate vetting & English assessment → Client interviews → Onboarding & ongoing support."
"","Feature Section","Engagement model: Dedicated remote team, client retains hire/fire/bonus control, MezTal handles HR, IT, office, payroll, and recruiting."
"","FAQ Section","Top FAQs: Security/compliance, English levels, client control, time zone alignment, onboarding process."
"","Testimonial Section","Client testimonial from a finance/healthcare leader; optional employee voice."
"","CTA Section","Strong CTA to “Book a consult” and “Hire Finance Talent.”"
"","Footer",""
"IT Staffing & Software Development","Navbar",""
"","Hero Header Section","Hero section with headline “Build high-performing remote IT & software teams in Guadalajara and Mexico City.” Subhead: “Vetted English‑proficient engineers, 40% savings, full US business hours overlap.” Primary CTA: “Book a consult”, secondary CTA: “See sample roles”."
"","Header Section","Brief intro: MezTal connects US companies to top IT and software talent in Guadalajara and Mexico City, enabling scale with efficiency and control."
"","Feature Section","Pains solved: Fill critical technology skill gaps, speed up hiring, reduce costs, and avoid offshore communication challenges."
"","Features List Section","Roles we place: Full-stack developers, front-end/back-end engineers, QA/testers, DevOps, data engineers, UI/UX designers, project/product managers, and more."
"","Feature Section","Sample outcomes: Accelerated product launches, legacy system migrations, 24/7 monitoring, new feature delivery, cost-effective team scaling."
"","Feature Section","Why Guadalajara and Mexico City: Deep tech talent pools, strong university pipeline, fluency in English, vibrant developer communities, direct flights to US tech hubs."
"","How It Works Section","Process steps: 1) Discovery & requirements, 2) Candidate vetting & English screening, 3) Client interviews & selection, 4) Onboarding & support (HR/IT/payroll handled by MezTal)."
"","Feature Section","Engagement model: Flexible dedicated teams or staff augmentation. Full client control over team, MezTal manages HR, IT, office, compliance, and payroll."
"","FAQ Section","FAQs covering security (SOC2/HIPAA), communication, onboarding speed, time zone overlap, and team management."
"","CTA Section","Strong CTA: “Book a consult” and “Browse IT roles” for next steps."
"","Footer",""
"Workflow Automation","Navbar",""
"","Header Section","Page header: “Streamline your business processes with Workflow Automation in Guadalajara and Mexico City.” Subhead: “Boost efficiency and accuracy while saving up to 40% vs US hiring. Overlapping business hours for seamless collaboration.”"
"","Feature Section","Feature: “Automate repetitive tasks and reduce manual errors.”"
"","Feature Section","Feature: “Integrate systems across finance, HR, customer support, and more.”"
"","Feature Section","Feature: “Custom workflow solutions built by vetted, English-proficient automation specialists.”"
"","Features List Section","Roles we place: RPA Developers, Automation Analysts, Workflow Consultants, Data Integrators."
"","Features List Section","Sample outcomes: Reduced processing time, error elimination, improved compliance/documentation, enhanced scalability."
"","Feature Section","Why Guadalajara and Mexico City: Large pool of automation talent, strong tech universities, cultural alignment, direct flights, and cost savings."
"","How It Works Section","Process steps: 1) Consult & map workflows, 2) Candidate vetting, 3) Onboarding & integration, 4) Ongoing support & optimization."
"","FAQ Section","FAQs: Security of automations, tools supported, integration with US systems, support model."
"","CTA Section","Clear call to action: “Hire Workflow Automation Talent” (leads to Hire Talent page)."
"","Footer",""
"HR & Talent / RPO","Navbar",""
"","Hero Header Section","Hero: “Build your HR & Talent team in Guadalajara and Mexico City—MezTal’s RPO model delivers vetted, English-proficient professionals with 40% cost savings and overlapping business hours with the US.” Primary CTA: “Book a consult”, secondary: “View sample roles”."
"","Feature Section","Pains Solved: Struggling to scale talent acquisition? High agency fees? Talent shortages in the US? MezTal solves these with dedicated nearshore RPO and HR teams."
"","Features List Section","Roles We Place: Talent Acquisition Partner, HR Generalist, HR Coordinator, Recruiter, HRIS Analyst, Employer Branding Specialist, Onboarding Specialist, Payroll Admin, Benefits Coordinator."
"","Features List Section","Sample Outcomes: Faster time-to-hire, reduced cost per hire, improved candidate quality, scalable recruiting, seamless HR operations."
"","Feature Section","Why Guadalajara and Mexico City: Large pool of HR/recruiting specialists, strong English proficiency, modern office infrastructure, top universities producing HR talent, cultural alignment with US work styles."
"","How It Works Section","Process Steps: 1. Requirements consult, 2. Talent vetting & English screening, 3. Client interviews & selection, 4. Onboarding & continuous support."
"","Feature Section","Engagement Model: Dedicated team members under your daily management—MezTal handles payroll, HR, IT, office, compliance, recruiting."
"","FAQ Section","FAQs: Covering RPO process, team integration, time zone overlap, security & compliance, switching from agencies."
"","CTA Section","Clear CTA to “Hire HR & Talent” (lead form) and option to contact MezTal for a consult."
"","Footer",""
"Call Center & Support","Navbar",""
"","Hero Header Section","Hero: “Build a high-performing Call Center & Support team in Guadalajara and Mexico City.” Subhead: 40% cost savings, vetted bilingual agents, and overlapping business hours with the US. Primary CTA: “Book a consult”. Secondary CTA: “See sample roles”."
"","Header Section","Intro: How MezTal enables US organizations to deliver exceptional customer experiences with nearshore teams."
"","Feature Section","Pain Points Solved: Reduce operating costs, improve customer satisfaction, scale rapidly, and maintain control over your team."
"","Features List Section","Roles We Place: Customer Support Reps, Call Center Agents, Team Leads, QA Specialists, Tech Support, Multilingual Agents."
"","Feature Section","Sample Outcomes: 24/7 availability options, improved NPS scores, seamless integration with US teams, rapid onboarding."
"","Feature Section","Why Guadalajara and Mexico City: English-proficient talent, strong cultural alignment, high retention, direct flight access for site visits."
"","How It Works Section","Process Steps: Discovery & requirements, talent vetting, onboarding, ongoing support/management."
"","FAQ Section","FAQs: Security/compliance, language proficiency, integration with US systems, reporting."
"","CTA Section","Clear CTA: ""Ready to build your nearshore support team? Book a consult."" Secondary: ""Contact us"" or “See more roles”."
"","Footer",""
"Marketing & Creative","Navbar",""
"","Hero Header Section","Hero section with headline: “Build a high-performing Marketing & Creative team in Guadalajara and Mexico City.” Subhead: “Expert designers, marketers, and strategists—vetted, English-proficient, and ready to help you grow. 40% cost savings and overlapping business hours with the US.” Primary CTA: “Book a consult.” Secondary CTA: “View available roles.”"
"","Header Section","Brief intro on MezTal’s approach to nearshore marketing & creative staffing for US companies."
"","Feature Section","Pain points solved: Struggling to find reliable, innovative marketing talent at US rates? Facing bandwidth issues or creative bottlenecks? MezTal delivers dedicated teams at scale."
"","Features List Section","Roles we place: Digital Marketers, Graphic Designers, Content Creators, Social Media Managers, Brand Strategists, UI/UX Designers, Video Editors."
"","Feature Section","Sample outcomes: Faster campaign execution, elevated brand visuals, 24/7 social monitoring, and measurable ROI on creative spend."
"","Feature Section","Why Guadalajara and Mexico City: Deep creative talent pool, thriving digital agencies, strong English proficiency, and vibrant cultural influences."
"","How It Works Section","Outline of MezTal’s process: Discovery, Recruitment & Vetting, Seamless Onboarding, Ongoing Support and Success Tracking."
"","Pricing Section","Transparent engagement model: No hidden fees, US-style management, full client control (hire/fire/bonuses), 40% average cost savings."
"","FAQ Section","Top FAQs: How do you vet creative professionals? How do you ensure quality and brand fit? What tools do teams use?"
"","Testimonial Section","Testimonial from a US client in SaaS/Healthcare, and a creative team member."
"","CTA Section","Strong CTA: “Book a consult,” “See sample portfolios,” and “Get a talent match.”"
"","Footer",""
"Admin & Back Office","Navbar",""
"","Header Section","Page header with headline: “Streamline Your Operations with Nearshore Admin & Back Office Teams in Guadalajara and Mexico City.” Subhead: ""40% savings, English-proficient talent, and seamless integration with overlapping business hours for US companies."" Primary CTA: “Book a Consult.” Secondary CTA: “View Roles.”"
"","Feature Section","Pain points solved: Eliminate backlogs, ensure accuracy, and reduce admin workload so your US teams can focus on growth."
"","Features List Section","Roles we place: Executive Assistants, Data Entry Specialists, Office Managers, Customer Support Admins, AR/AP Clerks, Document Specialists."
"","Feature Section","Sample outcomes: Faster turnaround times, improved data accuracy, 40% cost savings, and scalable support for high-volume tasks."
"","Feature Section","Why Guadalajara and Mexico City: Deep admin talent pool, high retention, strong English, and easy travel for training or onsite immersion."
"","How It Works Section","Process steps: Discovery call, tailored sourcing, vetting & English assessment, onboarding, ongoing support."
"","Pricing Section","Transparent engagement model: flexible contracts, you control hiring/firing/bonuses, MezTal handles HR, IT, payroll, and compliance."
"","FAQ Section","Common questions: Data security, working hours, training, compliance, and team management."
"","CTA Section","Strong closing CTA: “Ready to streamline your admin & back office operations? Book a consult or contact our team.”"
"","Footer",""
"Industries","Navbar",""
"","Header Section","Page header introducing MezTal’s industry expertise: “Staffing Solutions for Senior Living, Healthcare, AgeTech, SaaS, FinTech, and Real Estate—Build your nearshore team in Guadalajara and Mexico City.” Brief intro copy about understanding sector-specific needs and delivering vetted English-proficient teams."
