,uid,source_title,source_link,source_type,file_id / tab_name / row_idx_or_section,content_type,field_key,field_value,related_page_url,recommended_url,priority,status,tags,provenance,evidence_snippet,confidence,author_or_owner,date_found,version_introduced
0,ssot-governance-Internal_Link_Rec-75294967,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,Compliance_Audit,Internal_Link_Rec,Internal_Link_Rec,"/nearshore-staffing-firm-mexico/ → /services/*, /comparisons/*, /resources/*, /hire/*",,,High,To-Do,Internal_Linking_Plan,MezTal_SSOT_Compliance_v12.3.xlsx | Compliance_Audit,Compliance requirements,High,,2025-09-03,v0.6.0
1,ssot-governance-Internal_Link_Rec-99142779,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,Compliance_Audit,Internal_Link_Rec,Internal_Link_Rec,"/comparisons/nearshore-vs-offshore/ → /proof/*, /services/*",,,High,To-Do,Internal_Linking_Plan,MezTal_SSOT_Compliance_v12.3.xlsx | Compliance_Audit,Compliance requirements,High,,2025-09-03,v0.6.0
2,ssot-governance-301_Rec-79138676,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,Compliance_Audit,301_Rec,301_Rec,Plan 301: legacy blank → /nearshore-staffing-firm-mexico/,,,High,To-Do,Redirect_Map,MezTal_SSOT_Compliance_v12.3.xlsx | Compliance_Audit,Compliance requirements,High,,2025-09-03,v0.6.0
3,ssot-governance-Decision-61544280,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,Compliance_Audit,Note,Decision,Always safe route (B).,,,High,To-Do,Decisions_Log,MezTal_SSOT_Compliance_v12.3.xlsx | Compliance_Audit,Compliance requirements,High,,2025-09-03,v0.6.0
4,ssot-governance-Decision-32633295,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,Compliance_Audit,Note,Decision,"Append-only, no placeholders.",,,High,To-Do,Decisions_Log,MezTal_SSOT_Compliance_v12.3.xlsx | Compliance_Audit,Compliance requirements,High,,2025-09-03,v0.6.0
5,ssot-governance-Decision-20268479,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,Compliance_Audit,Note,Decision,1 Primary KW + ≤2 Secondary KWs per page.,,,High,To-Do,Decisions_Log,MezTal_SSOT_Compliance_v12.3.xlsx | Compliance_Audit,Compliance requirements,High,,2025-09-03,v0.6.0
6,ssot-governance-Decision-27292651,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,Compliance_Audit,Note,Decision,Exclude pricing pages.,,,High,To-Do,Decisions_Log,MezTal_SSOT_Compliance_v12.3.xlsx | Compliance_Audit,Compliance requirements,High,,2025-09-03,v0.6.0
7,ssot-governance-Decision-10183597,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,Compliance_Audit,Note,Decision,"Sequential tasks, no parallelization.",,,High,To-Do,Decisions_Log,MezTal_SSOT_Compliance_v12.3.xlsx | Compliance_Audit,Compliance requirements,High,,2025-09-03,v0.6.0
8,ssot-2117913982,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 43,URL,recommended_url,/hire/sre-engineers-mexico-city/,/hire/sre-engineers-mexico-city/,/hire/sre-engineers-mexico-city/,,,"Hire, SRE, CDMX",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,optimized_url,High,,2025-09-03,v0.6.0
9,ssot-47655e7139,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 43,Page_Meta,Meta Title,Hire SRE Engineers in Mexico City | MezTal,/hire/sre-engineers-mexico-city/,/hire/sre-engineers-mexico-city/,,,"Hire, SRE, CDMX",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,meta_title,High,,2025-09-03,v0.6.0
10,ssot-4574f8e334,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 43,Page_Meta,Meta Description,Hire SRE Engineers in Mexico City. Vetted talent with US time‑zone overlap—MezTal handles HR and payroll so you can scale fast.,/hire/sre-engineers-mexico-city/,/hire/sre-engineers-mexico-city/,,,"Hire, SRE, CDMX",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,meta_description,High,,2025-09-03,v0.6.0
11,ssot-c48cee9a46,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 43,H1,H1,Hire SRE Engineers in Mexico City,/hire/sre-engineers-mexico-city/,/hire/sre-engineers-mexico-city/,,,"Hire, SRE, CDMX",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,on_page_h1,High,,2025-09-03,v0.6.0
12,ssot-68145a1236,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 51,URL,recommended_url,/hire/java-developers-guadalajara/,/hire/java-developers-guadalajara/,/hire/java-developers-guadalajara/,,,"Hire, Java, GDL",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,optimized_url,High,,2025-09-03,v0.6.0
13,ssot-034670b040,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 51,Page_Meta,Meta Title,Hire Java Developers Guadalajara | MezTal,/hire/java-developers-guadalajara/,/hire/java-developers-guadalajara/,,,"Hire, Java, GDL",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,meta_title,High,,2025-09-03,v0.6.0
14,ssot-dc02f2965c,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 51,Page_Meta,Meta Description,Hire Java Developers in Guadalajara. Vetted talent with US time‑zone overlap—MezTal handles HR and payroll so you can scale fast.,/hire/java-developers-guadalajara/,/hire/java-developers-guadalajara/,,,"Hire, Java, GDL",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,meta_description,High,,2025-09-03,v0.6.0
15,ssot-758b4aa2b3,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 51,H1,H1,Hire Java Developers Guadalajara,/hire/java-developers-guadalajara/,/hire/java-developers-guadalajara/,,,"Hire, Java, GDL",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,on_page_h1,High,,2025-09-03,v0.6.0
16,ssot-66ce494d44,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 55,URL,recommended_url,/hire/java-developers-monterrey/,/hire/java-developers-monterrey/,/hire/java-developers-monterrey/,,,"Hire, Java, Monterrey",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,optimized_url,High,,2025-09-03,v0.6.0
17,ssot-eba600cc63,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 55,Page_Meta,Meta Title,Hire Java Developers in Monterrey | MezTal,/hire/java-developers-monterrey/,/hire/java-developers-monterrey/,,,"Hire, Java, Monterrey",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,meta_title,High,,2025-09-03,v0.6.0
